Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
125,Bur oak,30.3,"9,030.25","5,266.2",449.07,47.9,4.08,647.7,5.79,N/A,N/A,55.5,13.14,N/A,23.01
126,Swamp white oak,25.3,"6,440.42","3,276.4",279.39,53.5,4.56,550.0,4.91,N/A,N/A,47.1,11.16,N/A,20.63
127,American elm,2.9,39.15,14.7,1.26,2.6,0.22,11.7,0.10,N/A,N/A,1.0,0.24,N/A,0.57
128,American basswood,36.7,"9,774.79","4,871.6",415.43,47.9,4.09,588.2,5.26,N/A,N/A,50.4,11.93,N/A,21.28
129,White oak,9.5,"1,021.16",330.3,28.17,9.5,0.81,151.3,1.35,N/A,N/A,13.0,3.07,N/A,5.23
130,Swamp white oak,2.5,78.30,37.6,3.21,5.5,0.47,9.3,0.08,N/A,N/A,0.8,0.19,N/A,0.74
131,Kentucky Coffee tree,0.8,78.30,1.3,0.12,0.5,0.04,3.9,0.04,N/A,N/A,0.3,0.08,N/A,0.16
132,Swamp white oak,26.3,"6,958.71","3,540.0",301.88,55.6,4.74,562.2,5.02,N/A,N/A,48.1,11.40,N/A,21.17
133,Siberian elm,3.5,25.16,27.1,2.31,4.0,0.34,15.5,0.14,N/A,N/A,1.3,0.31,N/A,0.79
134,Red maple,12.3,"1,530.69",666.9,56.87,27.2,2.32,179.9,1.61,N/A,N/A,15.4,3.65,N/A,7.58
135,Pin oak,31.0,"9,466.80","4,320.2",368.41,57.6,4.91,"1,025.7",9.17,N/A,N/A,87.8,20.81,N/A,34.88
136,Siberian elm,0.8,19.58,0.8,0.07,0.6,0.05,2.8,0.03,N/A,N/A,0.2,0.06,N/A,0.13
137,White oak,35.7,"15,235.71","8,848.9",754.60,68.3,5.83,549.8,4.91,N/A,N/A,47.1,11.15,N/A,21.89
138,Northern hackberry,20.6,"4,273.53",292.4,24.93,5.0,0.43,597.2,5.34,N/A,N/A,51.1,12.11,N/A,17.88
139,Siberian elm,2.7,19.58,14.6,1.24,2.8,0.24,10.2,0.09,N/A,N/A,0.9,0.21,N/A,0.54
140,Black oak,7.6,593.43,271.6,23.16,13.4,1.14,80.2,0.72,N/A,N/A,6.9,1.63,N/A,3.49
141,Ginkgo,1.0,97.88,0.4,0.04,0.1,0.01,2.7,0.02,N/A,N/A,0.2,0.06,N/A,0.09
142,Northern red oak,41.2,"15,351.69","11,610.7",990.11,80.6,6.88,578.6,5.17,N/A,N/A,49.5,11.74,N/A,23.78
143,European silver birch,5.0,179.73,72.3,6.16,5.8,0.49,47.1,0.42,N/A,N/A,4.0,0.95,N/A,1.87
144,Northern red oak,35.5,"12,172.97","8,086.3",689.56,87.8,7.49,433.9,3.88,N/A,N/A,37.2,8.80,N/A,20.17
145,Green ash,32.2,"10,205.41","3,170.0",270.32,40.0,3.41,721.4,6.45,N/A,N/A,61.8,14.63,N/A,24.49
146,American elm,25.6,"3,548.52","2,734.7",233.21,53.1,4.53,410.0,3.66,N/A,N/A,35.1,8.32,N/A,16.51
147,Swamp white oak,2.1,78.30,28.2,2.40,4.6,0.40,7.4,0.07,N/A,N/A,0.6,0.15,N/A,0.61
148,Sugar maple,2.1,97.88,11.2,0.95,1.5,0.13,9.0,0.08,N/A,N/A,0.8,0.18,N/A,0.39
149,American elm,2.6,39.15,11.3,0.97,2.3,0.19,9.9,0.09,N/A,N/A,0.8,0.20,N/A,0.48
150,Black maple,27.2,"5,707.58","4,363.3",372.08,56.8,4.84,621.4,5.55,N/A,N/A,53.2,12.61,N/A,23.00
151,Ginkgo,31.1,"11,785.22","2,491.9",212.50,22.4,1.91,456.3,4.08,N/A,N/A,39.1,9.26,N/A,15.24
152,Freeman maple,7.6,569.23,236.8,20.19,14.2,1.21,114.1,1.02,N/A,N/A,9.8,2.31,N/A,4.54
153,Freeman maple,6.6,268.42,172.0,14.66,11.9,1.01,87.2,0.78,N/A,N/A,7.5,1.77,N/A,3.56
154,Thornless honeylocust,26.6,"5,464.40","3,747.3",319.55,44.9,3.83,304.3,2.72,N/A,N/A,26.1,6.17,N/A,12.72
155,Sugar maple,2.4,97.88,15.5,1.32,1.8,0.15,12.0,0.11,N/A,N/A,1.0,0.24,N/A,0.50
156,Norway maple,19.4,"3,791.39","1,915.1",163.31,46.1,3.93,311.1,2.78,N/A,N/A,26.6,6.31,N/A,13.02
157,Green ash,23.3,"5,464.10","1,605.9",136.95,27.4,2.34,457.7,4.09,N/A,N/A,39.2,9.29,N/A,15.71
158,Ginkgo,1.4,97.88,1.0,0.08,0.2,0.02,3.8,0.03,N/A,N/A,0.3,0.08,N/A,0.13
159,Northern red oak,2.1,78.30,8.4,0.72,1.6,0.14,8.8,0.08,N/A,N/A,0.8,0.18,N/A,0.40
160,Norway maple,17.8,"3,193.55","1,573.8",134.21,41.3,3.52,268.2,2.40,N/A,N/A,23.0,5.44,N/A,11.36
161,Norway maple,16.5,"2,745.67","1,324.0",112.90,37.4,3.19,234.2,2.09,N/A,N/A,20.1,4.75,N/A,10.04
162,Washington hawthorn,11.9,"1,157.97",543.4,46.34,17.9,1.52,55.8,0.50,N/A,N/A,4.8,1.13,N/A,3.15
163,Washington hawthorn,7.8,586.95,193.0,16.46,9.7,0.83,25.7,0.23,N/A,N/A,2.2,0.52,N/A,1.58
164,Washington hawthorn,7.4,543.96,169.6,14.47,9.0,0.77,23.5,0.21,N/A,N/A,2.0,0.48,N/A,1.45
165,Black oak,32.6,"10,697.51","8,542.4",728.46,97.5,8.32,395.4,3.53,N/A,N/A,33.9,8.02,N/A,19.87
166,Roughleaf dogwood,12.3,"1,226.41",603.4,51.46,17.3,1.48,88.1,0.79,N/A,N/A,7.5,1.79,N/A,4.05
167,Kentucky Coffee tree,1.1,78.30,2.4,0.20,0.7,0.06,4.9,0.04,N/A,N/A,0.4,0.10,N/A,0.20
168,Green ash,23.3,"5,464.10","1,605.9",136.95,27.4,2.34,457.7,4.09,N/A,N/A,39.2,9.29,N/A,15.71
169,Freeman maple,7.6,569.23,236.8,20.19,14.2,1.21,114.1,1.02,N/A,N/A,9.8,2.31,N/A,4.54
170,Cottonwood spp,17.9,"1,184.78","1,179.5",100.58,26.0,2.22,344.7,3.08,N/A,N/A,29.5,6.99,N/A,12.29
171,Washington hawthorn,6.8,267.40,137.9,11.76,8.0,0.68,20.3,0.18,N/A,N/A,1.7,0.41,N/A,1.27
172,Green ash,40.1,"14,759.93","5,027.6",428.73,41.2,3.52,982.7,8.78,N/A,N/A,84.1,19.93,N/A,32.23
173,Scots pine,15.7,"2,486.92",687.2,58.60,18.4,1.57,287.6,2.57,N/A,N/A,24.6,5.83,N/A,9.97
174,Red maple,2.5,78.30,14.6,1.24,3.1,0.27,7.7,0.07,N/A,N/A,0.7,0.16,N/A,0.49
175,Roughleaf dogwood,7.9,598.05,217.1,18.51,10.1,0.86,39.4,0.35,N/A,N/A,3.4,0.80,N/A,2.01
176,Roughleaf dogwood,18.4,"2,550.36","1,536.1",130.99,1.6,0.14,174.1,1.56,N/A,N/A,14.9,3.53,N/A,5.22
177,Washington hawthorn,3.1,55.57,20.2,1.72,2.6,0.22,6.0,0.05,N/A,N/A,0.5,0.12,N/A,0.40
178,American elm,2.9,39.15,14.7,1.26,2.6,0.22,11.7,0.10,N/A,N/A,1.0,0.24,N/A,0.57
179,White ash,18.7,"3,523.51","1,728.9",147.43,34.9,2.98,411.5,3.68,N/A,N/A,35.2,8.35,N/A,15.00
180,Northern hackberry,20.2,"4,109.60",282.7,24.11,5.0,0.42,575.3,5.14,N/A,N/A,49.3,11.67,N/A,17.23
181,Freeman maple,7.5,557.86,229.8,19.60,14.0,1.19,111.3,0.99,N/A,N/A,9.5,2.26,N/A,4.44
182,Roughleaf dogwood,0.6,55.11,0.4,0.04,0.3,0.03,2.0,0.02,N/A,N/A,0.2,0.04,N/A,0.09
183,Roughleaf dogwood,0.6,55.11,0.4,0.04,0.3,0.03,2.0,0.02,N/A,N/A,0.2,0.04,N/A,0.09
184,Roughleaf dogwood,0.5,55.11,0.3,0.03,0.3,0.02,1.8,0.02,N/A,N/A,0.2,0.04,N/A,0.08
185,Swamp white oak,2.9,78.30,48.6,4.15,6.3,0.54,11.6,0.10,N/A,N/A,1.0,0.23,N/A,0.88
186,Sugar maple,2.2,97.88,12.5,1.07,1.6,0.13,10.0,0.09,N/A,N/A,0.9,0.20,N/A,0.43
187,Ohio buckeye,9.1,757.94,314.1,26.79,17.1,1.45,170.5,1.52,N/A,N/A,14.6,3.46,N/A,6.44
188,Swamp white oak,21.7,"4,740.90","2,411.8",205.67,45.9,3.92,479.3,4.28,N/A,N/A,41.0,9.72,N/A,17.92
189,Thornless honeylocust,19.3,"2,940.20","1,692.1",144.30,34.4,2.94,275.7,2.46,N/A,N/A,23.6,5.59,N/A,10.99
190,Swamp white oak,5.6,257.66,165.9,14.15,12.0,1.02,38.1,0.34,N/A,N/A,3.3,0.77,N/A,2.14
191,Swamp white oak,26.2,"6,905.98","3,513.2",299.59,55.4,4.72,561.2,5.01,N/A,N/A,48.1,11.38,N/A,21.12
192,White ash,36.7,"12,865.31","8,581.6",731.80,85.1,7.25,497.5,4.45,N/A,N/A,42.6,10.09,N/A,21.79
193,Freeman maple,7.1,513.86,202.9,17.30,13.0,1.11,100.3,0.90,N/A,N/A,8.6,2.03,N/A,4.04
