Tree ID,Species Name,DBH (in),Height (ft),Crown Height (ft),Crown Width (ft),Canopy Cover (ft^2),Tree Condition,Leaf Area (ft^2),Leaf Biomass (lb),Leaf Area Index,Basal Area (ft^2),Street Tree,Date,Crew,Land Use
281,Thornless honeylocust,16.3,44.8,27.5,30.6,733.9,FAIR,"3,810.1",81.7,5.2,1.450,NO,,,Institutional
282,Roughleaf dogwood,5.4,22.7,11.7,15.6,190.0,FAIR,341.3,4.3,1.8,0.159,NO,,,Institutional
283,Eastern red cedar,1.4,11.7,9.1,5.0,19.8,FAIR,52.0,3.0,2.6,0.011,NO,,,Institutional
284,Blue spruce,2.9,12.8,10.6,8.0,50.0,FAIR,119.7,4.1,2.4,0.046,NO,,,Institutional
285,Eastern red cedar,1.5,12.2,9.5,5.2,21.2,FAIR,56.5,3.2,2.7,0.012,NO,,,Institutional
286,Eastern red cedar,1.4,11.7,9.1,5.0,19.8,FAIR,52.0,3.0,2.6,0.011,NO,,,Institutional
287,Eastern red cedar,1.3,11.2,8.8,4.8,18.5,FAIR,47.6,2.7,2.6,0.009,NO,,,Institutional
288,Eastern red cedar,1.4,11.7,9.1,5.0,19.8,FAIR,52.0,3.0,2.6,0.011,NO,,,Institutional
289,Swamp white oak,2.6,22.7,12.0,10.2,81.7,FAIR,163.6,3.3,2.0,0.037,NO,,,Institutional
290,Eastern red cedar,1.4,11.7,9.1,5.0,19.8,FAIR,52.0,3.0,2.6,0.011,NO,,,Institutional
291,Eastern red cedar,1.5,12.2,9.5,5.2,21.2,FAIR,56.5,3.2,2.7,0.012,NO,,,Institutional
292,Blue spruce,2.9,12.8,10.6,8.0,50.0,FAIR,119.7,4.1,2.4,0.046,NO,,,Institutional
293,Eastern red cedar,1.5,12.2,9.5,5.2,21.2,FAIR,56.5,3.2,2.7,0.012,NO,,,Institutional
294,Eastern red cedar,1.4,11.7,9.1,5.0,19.8,FAIR,52.0,3.0,2.6,0.011,NO,,,Institutional
295,Eastern red cedar,1.4,11.7,9.1,5.0,19.8,FAIR,52.0,3.0,2.6,0.011,NO,,,Institutional
296,Eastern red cedar,1.3,11.2,8.8,4.8,18.5,FAIR,47.6,2.7,2.6,0.009,NO,,,Institutional
297,Eastern red cedar,1.4,11.7,9.1,5.0,19.8,FAIR,52.0,3.0,2.6,0.011,NO,,,Institutional
298,Thornless honeylocust,15.0,42.9,26.2,29.1,663.7,FAIR,"3,395.4",72.8,5.1,1.228,NO,,,Institutional
299,Norway maple,7.5,33.7,21.7,13.8,148.8,FAIR,859.1,9.5,5.8,0.307,NO,,,Institutional
300,Serviceberry spp,0.9,11.8,6.0,6.8,36.7,FAIR,28.7,0.4,0.8,0.004,NO,,,Institutional

