TreeID,Species,Circumference (cm),Planters,Date of Collection,i-Tree Species ID,i-Tree Species Code,i-Tree Species Scientific Name,i-Tree Species Common Name,Tree Map Group,DBH (inches),DBH Height (ft),i-Tree Land Use,Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon (lb/yr),Gross Carbon ($/yr),Avoided Runoff (ft3/yr),Avoided Runoff ($/yr),Removed Pollution (oz/yr),Removed Pollution ($/yr),Total Benefits ($/yr),latitude,longitude
129,Sentry Linden,13,"K. Batey, B. Bodermann, A. Cota",10/23/2022,5857,TIAM,Tilia americana,American basswood,Other,1.6,4.5,Institutional,58.73,3,0.26,0.8,0.06,1.2,0.08,0.5,0.15,0.29,41.98711285211981,-91.6583800013922
130,Bur Oak,242,,10/23/2022,4926,QUMA1,Quercus macrocarpa,Bur oak,Oak,30.3,4.5,Institutional,9030.25,5266.2,449.07,47.9,4.08,126.1,8.43,53.7,15.33,27.84,41.98721527506114,-91.65831114956616
131,Swamp White Oak,202,,10/23/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,25.3,4.5,Institutional,6440.42,3276.4,279.39,53.5,4.56,107.1,7.16,45.6,13.02,24.74,41.98731860520671,-91.65808262576662
132,Valley Forge Elm,23,"H. Nguyen, V. Ortega",10/23/2022,5903,ULAM,Ulmus americana,American elm,Elm,2.9,4.5,Institutional,39.15,14.7,1.26,2.6,0.22,2.3,0.15,1,0.28,0.65,41.98730125758571,-91.65791356221939
133,Sentry Linden,293,,10/23/2022,5857,TIAM,Tilia americana,American basswood,Other,36.7,4.5,Institutional,9774.79,4871.6,415.43,47.9,4.09,114.5,7.66,48.8,13.92,25.67,41.98725789598659,-91.65783796774328
134,White Oak,76,,10/23/2022,4824,QUAL,Quercus alba,White oak,Oak,9.5,4.5,Institutional,1021.16,330.3,28.17,9.5,0.81,29.5,1.97,12.5,3.58,6.36,41.98717024174073,-91.65769044933867
135,Swamp White Oak,20,"A. Costantino, B. Jungman, K. Koenen, O. Wagner",10/23/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,2.5,4.5,Institutional,78.3,37.6,3.21,5.5,0.47,1.8,0.12,0.8,0.22,0.81,41.98710282292334,-91.65765936969132
136,Kentucky Coffee Tree,6,,10/23/2022,15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Other,0.8,4.5,Institutional,54.75,2.5,0.22,0.8,0.07,0.5,0.03,0.2,0.06,0.16,41.98704295400747,-91.65758793978506
137,Swamp White Oak,210,,10/23/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,26.3,4.5,Institutional,6958.71,3540,301.88,55.6,4.74,109.5,7.32,46.6,13.31,25.37,41.98693000551766,-91.65752835888635
138,Cathedral Elm,28,,10/23/2022,5909,ULPU,Ulmus pumila,Siberian elm,Elm,3.5,4.5,Institutional,25.16,27.1,2.31,4,0.34,3,0.2,1.3,0.37,0.91,41.98677924823286,-91.6575296985056
139,Red Maple,98,,10/23/2022,1678,ACRU,Acer rubrum,Red maple,Maple,12.3,4.5,Institutional,1530.69,666.9,56.87,27.2,2.32,35,2.34,14.9,4.26,8.92,41.98709062042695,-91.65745998178942
140,Pin Oak,247,,10/23/2022,4952,QUPA,Quercus palustris,Pin oak,Oak,31,4.5,Institutional,9466.8,4320.2,368.41,57.6,4.91,199.7,13.35,85.1,24.28,42.54,41.98719122612732,-91.65756684505214
141,Cathedral Elm,6,"L. Dufoe, M. Jones, A. Phillips",10/23/2022,5909,ULPU,Ulmus pumila,Siberian elm,Elm,0.8,4.5,Institutional,19.58,0.8,0.07,0.6,0.05,0.5,0.04,0.2,0.07,0.15,41.98728392005409,-91.65767839383078
142,White Oak,285,,10/23/2022,4824,QUAL,Quercus alba,White oak,Oak,35.7,4.5,Institutional,15235.71,8848.9,754.6,68.3,5.83,107,7.16,45.6,13.01,25.99,41.98738722381252,-91.65760334808779
143,Common Hackberry,164,,10/23/2022,2302,CEOC,Celtis occidentalis,Northern hackberry,Other,20.6,4.5,Institutional,4273.53,292.4,24.93,5,0.43,116.3,7.77,49.5,14.14,22.34,41.98735243352154,-91.65752349545255
144,Cathedral Elm,21.5,,10/23/2022,5909,ULPU,Ulmus pumila,Siberian elm,Elm,2.7,4.5,Institutional,19.58,14.6,1.24,2.8,0.24,2,0.13,0.8,0.24,0.61,41.98720101511597,-91.65743701473257
145,Black Oak,61,,10/23/2022,5001,QUVE,Quercus velutina,Black oak,Oak,7.6,4.5,Institutional,593.43,271.6,23.16,13.4,1.14,15.6,1.04,6.7,1.9,4.09,41.98720975794299,-91.65721202836146
146,Princeton Sentry Ginkgo,8,"S. Barnes, A. Nuñez, G. Reighard",10/23/2022,3452,GIBI,Ginkgo biloba,Ginkgo,Other,1,4.5,Institutional,97.88,0.4,0.04,0.1,0.01,0.5,0.04,0.2,0.06,0.11,41.98725222965622,-91.65712094019204
147,Unidentified,9,,10/23/2022,,,,,Other,1.1,4.5,Institutional,,,,,,,,,,,41.98733806916051,-91.65725053483233
148,Red Oak,329,,10/23/2022,4970,QURU,Quercus rubra,Northern red oak,Oak,41.2,4.5,Institutional,15351.69,11610.7,990.11,80.6,6.88,112.6,7.53,48,13.7,28.1,41.98728438266227,-91.65734108857153
149,Silver Birch,40,,10/23/2022,14714,BEPEP,Betula pendula ssp. pendula,European silver birch,Other,5,4.5,Institutional,179.73,136.1,11.61,10.9,0.93,9.2,0.61,3.9,1.11,2.65,41.98736503929292,-91.65737088915695
150,Red Oak,283,,10/23/2022,4970,QURU,Quercus rubra,Northern red oak,Oak,35.5,4.5,Institutional,12172.97,8086.3,689.56,87.8,7.49,84.5,5.65,36,10.27,23.4,41.98747648357082,-91.65733498648132
151,Green Ash,257,,10/23/2022,3394,FRPE,Fraxinus pennsylvanica,Green ash,Ash,32.2,4.5,Institutional,10205.41,3170,270.32,40,3.41,140.5,9.39,59.8,17.08,29.87,41.98682781107961,-91.65833059511074
152,Princeton Elm,204,,10/23/2022,5903,ULAM,Ulmus americana,American elm,Elm,25.6,4.5,Institutional,3548.52,2734.7,233.21,53.1,4.53,79.8,5.34,34,9.7,19.57,41.98690382834284,-91.6584332019969
153,Swamp White Oak,17,"E. La Rosa, B. Runyon, C. Wihlm",10/23/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,2.1,4.5,Institutional,78.3,28.2,2.4,4.6,0.4,1.4,0.1,0.6,0.18,0.67,41.9867913565611,-91.65862922239454
154,Autumn Fest Maple,17,"C. Howell, R. McMahen, P. Waskow",10/23/2022,1680,ACSA2,Acer saccharum,Sugar maple,Maple,2.1,4.5,Institutional,97.88,11.2,0.95,1.5,0.13,1.8,0.12,0.7,0.21,0.46,41.98668819364583,-91.65864500883117
155,Princeton Elm,20.5,"M. Meiers, L. Sweezer",10/23/2022,5903,ULAM,Ulmus americana,American elm,Elm,2.6,4.5,Institutional,39.15,11.3,0.97,2.3,0.19,1.9,0.13,0.8,0.23,0.56,41.98665703630507,-91.65841056624728
156,Black Maple,217,,10/23/2022,1673,ACNI,Acer nigrum,Black maple,Maple,27.2,4.5,Institutional,5707.58,4363.3,372.08,56.8,4.84,121,8.09,51.5,14.71,27.64,41.98655428935026,-91.65851494975715
157,Ginkgo,248,,10/23/2022,3452,GIBI,Ginkgo biloba,Ginkgo,Other,31.1,4.5,Institutional,11785.22,2491.9,212.5,22.4,1.91,88.8,5.94,37.8,10.8,18.65,41.98647694649181,-91.65856965987366
158,Freeman Maple,61,,10/23/2022,1683,ACFR,Acer x freemanii,Freeman maple,Maple,7.6,4.5,Institutional,569.23,457.5,39.01,27.4,2.34,22.2,1.49,9.5,2.7,6.52,41.9867651219989,-91.65911687492923
159,Freeman Maple,53,,10/23/2022,1683,ACFR,Acer x freemanii,Freeman maple,Maple,6.6,4.5,Institutional,268.42,332.2,28.33,22.9,1.95,17,1.14,7.2,2.07,5.15,41.98681457890521,-91.65910997092392
160,Honey Locust,212,,10/23/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,26.6,4.5,Institutional,5464.4,5003.3,426.66,60.2,5.14,59.2,3.96,25.2,7.2,16.3,41.98745269787279,-91.65804285943324
161,Autumn Fest Maple,19.5,"D. Robertson, H. Schipper, A. Ward",10/23/2022,1680,ACSA2,Acer saccharum,Sugar maple,Maple,2.4,4.5,Institutional,97.88,15.5,1.32,1.8,0.15,2.3,0.16,1,0.28,0.59,41.98759366101719,-91.65792229435297
162,Norway Maple,155,,10/23/2022,1676,ACPL,Acer platanoides,Norway maple,Maple,19.4,4.5,Institutional,3791.39,1915.1,163.31,46.1,3.93,60.6,4.05,25.8,7.36,15.35,41.98767526935033,-91.65776716784967
163,Green Ash,186,,10/23/2022,3394,FRPE,Fraxinus pennsylvanica,Green ash,Ash,23.3,4.5,Institutional,5464.1,1605.9,136.95,27.4,2.34,89.1,5.96,38,10.84,19.13,41.9877710354764,-91.65755341677315
164,Princeton Sentry Ginkgo,11,"D. Robertson, H. Schipper, A. Ward",10/23/2022,3452,GIBI,Ginkgo biloba,Ginkgo,Other,1.4,4.5,Institutional,97.88,1,0.08,0.2,0.02,0.7,0.05,0.3,0.09,0.16,41.98788256918591,-91.65755823019096
165,Red Oak,16.5,"M. Macon, J. Meehan, B. Young",10/23/2022,4970,QURU,Quercus rubra,Northern red oak,Oak,2.1,4.5,Institutional,78.3,8.4,0.72,1.6,0.14,1.7,0.12,0.7,0.21,0.46,41.98777518198354,-91.65784534406102
166,Norway Maple,142,,10/23/2022,1676,ACPL,Acer platanoides,Norway maple,Maple,17.8,4.5,Institutional,3193.55,1573.8,134.21,41.3,3.52,52.2,3.49,22.2,6.35,13.36,41.98773522033401,-91.65794301780856
167,Norway Maple,132,,10/23/2022,1676,ACPL,Acer platanoides,Norway maple,Maple,16.5,4.5,Institutional,2745.67,1324,112.9,37.4,3.19,45.6,3.05,19.4,5.54,11.78,41.98768753385873,-91.65803796317616
168,Hawthorn,95,,10/23/2022,2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Other,11.9,4.5,Institutional,1153.67,536.9,45.79,17.6,1.5,10.9,0.73,4.6,1.32,3.55,41.98751973525356,-91.65829077522983
169,Hawthorn,62,,10/23/2022,2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Other,7.8,4.5,Institutional,586.4,190.9,16.28,9.6,0.82,5,0.34,2.1,0.61,1.76,41.98740179702058,-91.65850083718723
170,Hawthorn,59,,10/23/2022,2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Other,7.4,4.5,Institutional,543.69,167.9,14.31,8.9,0.76,4.6,0.31,1.9,0.56,1.62,41.98733071612258,-91.65849818784154
171,Black Oak,260,,10/23/2022,5001,QUVE,Quercus velutina,Black oak,Oak,32.6,4.5,Institutional,10697.51,8542.4,728.46,97.5,8.32,77,5.15,32.8,9.36,22.82,41.9873449029152,-91.65855939247082
172,Dogwood,98,,10/23/2022,2572,CODR,Cornus drummondii,Roughleaf dogwood,Other,12.3,4.5,Institutional,1221.65,989.2,84.36,28.4,2.42,17.2,1.15,7.3,2.09,5.65,41.98740026631905,-91.65867288250584
173,Kentucky Coffee Tree,9,,10/23/2022,15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Other,1.1,4.5,Institutional,54.75,4.3,0.36,1.1,0.1,0.6,0.04,0.3,0.07,0.21,41.9874496207186,-91.65887237024899
174,Green Ash,186,,10/23/2022,3394,FRPE,Fraxinus pennsylvanica,Green ash,Ash,23.3,4.5,Institutional,5464.1,1605.9,136.95,27.4,2.34,89.1,5.96,38,10.84,19.13,41.98765414564393,-91.65895891810041
175,Freeman Maple,61,,10/23/2022,1683,ACFR,Acer x freemanii,Freeman maple,Maple,7.6,4.5,Institutional,569.23,457.5,39.01,27.4,2.34,22.2,1.49,9.5,2.7,6.52,41.98792271266116,-91.65877074798343
176,Cottonwood,143,,10/23/2022,1028,PO,Populus,cottonwood spp,Other,17.9,4.5,Institutional,1184.78,3281.1,279.8,72.4,6.18,67.1,4.49,28.6,8.16,18.82,41.98794894392129,-91.65863400707298
177,Hawthorn,54,,10/23/2022,2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Other,6.8,4.5,Institutional,265.64,136.5,11.64,7.9,0.67,3.9,0.26,1.7,0.48,1.42,41.98789338357906,-91.65848936152089
178,Unidentified,34,,10/23/2022,,,,,Other,4.3,4.5,Institutional,,,,,,,,,,,41.98781986955996,-91.65846201643267
179,Green Ash,320,,10/23/2022,3394,FRPE,Fraxinus pennsylvanica,Green ash,Ash,40.1,4.5,Institutional,14759.93,5027.6,428.73,41.2,3.52,191.3,12.79,81.5,23.26,39.57,41.9878717120004,-91.65839608262027
180,Scotch Pine,125,,10/23/2022,4498,PISY,Pinus sylvestris,Scots pine,Evergreen,15.7,4.5,Institutional,2486.92,687.2,58.6,18.4,1.57,56,3.74,23.8,6.81,12.12,41.98784066623902,-91.6583427146697
181,Red Sunset Maple,20,"M. Macon, J. Meehan, B. Young",10/23/2022,1678,ACRU,Acer rubrum,Red maple,Maple,2.5,4.5,Institutional,78.3,14.6,1.24,3.1,0.27,1.5,0.1,0.6,0.18,0.55,41.98777329504187,-91.65827227455725
182,Dogwood,63,,10/23/2022,2572,CODR,Cornus drummondii,Roughleaf dogwood,Other,7.9,4.5,Institutional,597.42,355.9,30.35,16.6,1.42,7.7,0.51,3.3,0.93,2.86,41.98772089068215,-91.65821724124444
183,Dogwood,147,,10/23/2022,2572,CODR,Cornus drummondii,Roughleaf dogwood,Other,18.4,4.5,Institutional,2536.9,2518.2,214.74,2.6,0.22,33.9,2.27,14.4,4.12,6.61,41.98763867027388,-91.6582416955494
184,Hawthorn,25,,10/25/2022,2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Other,3.1,4.5,Institutional,55.21,20,1.7,2.6,0.22,1.2,0.08,0.5,0.14,0.44,41.98586351940517,-91.65796510912988
185,Princeton Elm,23.5,,10/25/2022,5903,ULAM,Ulmus americana,American elm,Elm,2.9,4.5,Institutional,39.15,14.7,1.26,2.6,0.22,2.3,0.15,1,0.28,0.65,41.98805532984429,-91.65883426861433
186,White Ash,149,,10/25/2022,3378,FRAM,Fraxinus americana,White ash,Ash,18.7,4.5,Institutional,3523.51,1728.9,147.43,34.9,2.98,80.1,5.36,34.1,9.74,18.08,41.98793567024637,-91.65891427341153
187,Common Hackberry,161,,10/25/2022,2302,CEOC,Celtis occidentalis,Northern hackberry,Other,20.2,4.5,Institutional,4109.6,282.7,24.11,5,0.42,112,7.49,47.7,13.62,21.53,41.98789068362466,-91.65909095977942
188,Freeman Maple,60,,10/25/2022,1683,ACFR,Acer x freemanii,Freeman maple,Maple,7.5,4.5,Institutional,557.86,443.9,37.86,27,2.3,21.7,1.45,9.2,2.63,6.38,41.98791661847356,-91.65921022307444
189,Dogwood,4.5,,10/25/2022,2572,CODR,Cornus drummondii,Roughleaf dogwood,Other,0.6,4.5,Institutional,54.75,0.7,0.06,0.6,0.05,0.4,0.03,0.2,0.05,0.12,41.98779944907739,-91.65911010106224
190,Dogwood,4.5,,10/25/2022,2572,CODR,Cornus drummondii,Roughleaf dogwood,Other,0.6,4.5,Institutional,54.75,0.7,0.06,0.6,0.05,0.4,0.03,0.2,0.05,0.12,41.98779813873465,-91.65907983947191
191,Dogwood,4,,10/25/2022,2572,CODR,Cornus drummondii,Roughleaf dogwood,Other,0.5,4.5,Institutional,54.75,0.5,0.04,0.4,0.04,0.4,0.02,0.2,0.04,0.1,41.98777643838713,-91.65909480479222
192,Swamp White Oak,23,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,2.9,4.5,Institutional,78.3,48.6,4.15,6.3,0.54,2.3,0.15,1,0.27,0.96,41.98812241318832,-91.65892238688572
193,Maple Northern Flare,17.5,"H. Blegger, S. Huggins, L. Tierney",10/25/2022,1680,ACSA2,Acer saccharum,Sugar maple,Maple,2.2,4.5,Institutional,97.88,12.5,1.07,1.6,0.13,1.9,0.13,0.8,0.24,0.5,41.98822094144253,-91.65907140109759
194,Unidentified,95,,10/25/2022,,,,,Other,11.9,4.5,Institutional,,,,,,,,,,,41.9881906284495,-91.65919130674907
195,Ohio Buckeye,73,,10/25/2022,1709,AEGL,Aesculus glabra,Ohio buckeye,Other,9.1,4.5,Institutional,757.94,627.8,53.54,34.1,2.91,33.2,2.22,14.1,4.04,9.16,41.98812613047898,-91.65929243897797
196,Swamp White Oak,173,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,21.7,4.5,Institutional,4740.9,2411.8,205.67,45.9,3.92,93.3,6.24,39.7,11.34,21.5,41.98812717997639,-91.65942272724476
197,Honey Locust,154,,10/25/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,19.3,4.5,Institutional,2940.2,2253.4,192.16,45.9,3.92,53.7,3.59,22.9,6.53,14.03,41.98804792770766,-91.65961456111252
198,Swamp White Oak,44.5,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,5.6,4.5,Institutional,257.66,165.9,14.15,12,1.02,7.4,0.5,3.2,0.9,2.42,41.98826488910403,-91.65927358886739
199,Swamp White Oak,209,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,26.2,4.5,Institutional,6905.98,3513.2,299.59,55.4,4.72,109.3,7.3,46.5,13.28,25.31,41.98822673107706,-91.65944374111517
200,White Ash,293,,10/25/2022,3378,FRAM,Fraxinus americana,White ash,Ash,36.7,4.5,Institutional,12865.31,8581.6,731.8,85.1,7.25,96.9,6.48,41.3,11.78,25.51,41.98830916755451,-91.65963448139458
201,Freeman Maple,57,,10/25/2022,1683,ACFR,Acer x freemanii,Freeman maple,Maple,7.1,4.5,Institutional,513.86,392,33.43,25.1,2.14,19.5,1.31,8.3,2.37,5.82,41.98844492760823,-91.65970065214395
202,Common Hackberry,166,,10/25/2022,2302,CEOC,Celtis occidentalis,Northern hackberry,Other,20.8,4.5,Institutional,4356.7,297.3,25.35,5.1,0.43,118.4,7.92,50.5,14.4,22.75,41.98862742265734,-91.65971078780245
203,Swamp White Oak,220,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,27.6,4.5,Institutional,7662.53,3898.1,332.41,58.3,4.97,111.4,7.45,47.5,13.54,25.97,41.98870058096557,-91.65960071604023
204,Honey Locust,192,,10/25/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,24.1,4.5,Institutional,4509.55,3910.9,333.5,63.8,5.44,59.8,4,25.5,7.27,16.71,41.98876758104719,-91.65947431891519
205,Black Oak,22,,10/25/2022,5001,QUVE,Quercus velutina,Black oak,Oak,2.8,4.5,Institutional,80.26,26.7,2.27,3.6,0.31,1.7,0.12,0.7,0.21,0.64,41.98870541355677,-91.65931603999505
206,Swamp White Oak,43,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,5.4,4.5,Institutional,239.58,154.7,13.19,11.6,0.99,6.9,0.46,2.9,0.84,2.28,41.98859223155522,-91.65920398138887
207,White Ash,172.5,,10/25/2022,3378,FRAM,Fraxinus americana,White ash,Ash,21.6,4.5,Institutional,4697.4,2435.2,207.66,42.6,3.63,83.8,5.6,35.7,10.19,19.42,41.9884463763262,-91.65918600573565
208,Kentucky Coffee Tree,57,,10/25/2022,15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Other,7.1,4.5,Institutional,513.14,201.6,17.19,10.7,0.91,10.2,0.68,4.4,1.24,2.84,41.98833894939465,-91.65920186740247
209,Sentry Linden,21,,10/25/2022,5857,TIAM,Tilia americana,American basswood,Other,2.6,4.5,Institutional,58.73,9.5,0.81,1.4,0.12,2.1,0.14,0.9,0.26,0.52,41.98889954794443,-91.65940391603284
210,Kentucky Coffee Tree,4.5,,10/25/2022,15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Other,0.6,4.5,Institutional,54.75,1.7,0.14,0.7,0.06,0.4,0.03,0.2,0.05,0.14,41.98878603173102,-91.65926755305932
211,White Oak,26,,10/25/2022,4824,QUAL,Quercus alba,White oak,Oak,3.3,4.5,Institutional,111.84,24,2.05,2.1,0.18,3.2,0.22,1.4,0.39,0.79,41.98868627383462,-91.65917037020898
212,Kentucky Coffee Tree,27.5,,10/25/2022,15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Other,3.4,4.5,Institutional,66.41,38.3,3.26,4,0.34,2.6,0.18,1.1,0.32,0.83,41.98864500263998,-91.65908057519164
213,Honey Locust,181,,10/25/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,22.7,4.5,Institutional,4015.96,3369.6,287.34,58.7,5,59.1,3.95,25.2,7.18,16.13,41.98862795927506,-91.65894238099503
214,Honey Locust,155,,10/25/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,19.4,4.5,Institutional,2969.36,2282.4,194.63,46.3,3.95,53.9,3.6,23,6.55,14.11,41.98866703747262,-91.65881143230003
215,Kentucky Coffee Tree,23,,10/25/2022,15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Other,2.9,4.5,Institutional,54.75,27.3,2.32,3.2,0.28,2,0.14,0.9,0.25,0.66,41.98877779164825,-91.65880583317406
216,Black Oak,24.5,,10/25/2022,5001,QUVE,Quercus velutina,Black oak,Oak,3.1,4.5,Institutional,80.93,33.8,2.88,4.1,0.35,2.2,0.14,0.9,0.26,0.76,41.98886755813029,-91.65865618553188
217,Swamp White Oak,24,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,3,4.5,Institutional,78.3,51.6,4.4,6.5,0.56,2.4,0.16,1,0.29,1,41.98892596892566,-91.65854671638606
218,Swamp White Oak,27,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,3.4,4.5,Institutional,94.98,64.7,5.52,7.4,0.63,2.9,0.19,1.2,0.35,1.17,41.98905743657141,-91.65849821170532
219,Swamp White Oak,23,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,2.9,4.5,Institutional,78.3,48.6,4.15,6.3,0.54,2.3,0.15,1,0.27,0.96,41.98915843990142,-91.65859427316819
220,Red Oak,23,,10/25/2022,4970,QURU,Quercus rubra,Northern red oak,Oak,2.9,4.5,Institutional,78.3,18.4,1.57,2.5,0.22,3.1,0.21,1.3,0.38,0.8,41.98964467852815,-91.65907459311806
221,Red Oak,28,,10/25/2022,4970,QURU,Quercus rubra,Northern red oak,Oak,3.5,4.5,Institutional,100.65,29.1,2.48,3.3,0.28,4.5,0.3,1.9,0.54,1.13,41.98980180126896,-91.65923595797271
222,Sugar Maple,85,,10/25/2022,1680,ACSA2,Acer saccharum,Sugar maple,Maple,10.7,4.5,Institutional,1325.5,526.9,44.93,12.9,1.1,34.4,2.3,14.7,4.19,7.58,41.98985687173241,-91.65930000115169
223,Kentucky Coffee Tree,26,,10/25/2022,15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Other,3.3,4.5,Institutional,62.56,35.9,3.06,3.8,0.32,2.5,0.17,1.1,0.3,0.79,41.98985295866621,-91.65944348363314
224,Tulip Tree,4,,10/25/2022,3852,LITU,Liriodendron tulipifera,Tulip tree,Other,0.5,4.5,Institutional,78.3,0.2,0.02,0.2,0.02,0.5,0.03,0.2,0.06,0.1,41.98996800455406,-91.65955683926873
225,Swamp White Oak,16,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,2,4.5,Institutional,78.3,26.1,2.23,4.4,0.38,1.4,0.09,0.6,0.17,0.63,41.98993737378748,-91.65963272481136
226,Kentucky Coffee Tree,20.5,,10/25/2022,15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Other,2.6,4.5,Institutional,54.75,21.7,1.85,2.8,0.24,1.7,0.11,0.7,0.21,0.57,41.98988771237492,-91.65972173841926
227,Swamp White Oak,31.5,,10/25/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,3.9,4.5,Institutional,124.97,83.4,7.11,8.4,0.72,3.7,0.24,1.6,0.45,1.41,41.98982652356759,-91.65982092482682
228,Unidentified,16,,10/25/2022,,,,,Other,2,4.5,Institutional,,,,,,,,,,,41.98972208800074,-91.6600016057427
229,Scotch Pine,190,,10/25/2022,4498,PISY,Pinus sylvestris,Scots pine,Evergreen,23.8,4.5,Institutional,5700.64,1612.8,137.53,28.6,2.44,61.8,4.13,26.3,7.51,14.08,41.99013704744329,-91.65985935891952
230,White Ash,171,,11/9/2022,3378,FRAM,Fraxinus americana,White ash,Ash,21.4,4.5,Institutional,4611.02,2382,203.12,42,3.58,83.7,5.6,35.7,10.18,19.36,41.98809662002753,-91.657646279430793
231,Green Ash,159,,11/9/2022,3394,FRPE,Fraxinus pennsylvanica,Green ash,Ash,19.9,4.5,Institutional,3988.77,1152.7,98.3,22.8,1.95,77.3,5.17,32.9,9.4,16.51,41.98808846339775,-91.6577647243877
232,Honey Locust,218,,11/9/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,27.3,4.5,Institutional,5748.63,5339,455.29,58.6,5,58.7,3.93,25,7.14,16.07,41.98818830198365,-91.65763816233299
233,Scotch Pine,176,,11/9/2022,4498,PISY,Pinus sylvestris,Scots pine,Evergreen,22.1,4.5,Institutional,4916.88,1387.9,118.35,26.5,2.26,63.6,4.25,27.1,7.73,14.24,41.98816295477096,-91.6577890707555
234,Honey Locust,204,,11/9/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,25.6,4.5,Institutional,5071.16,4546.5,387.71,62.1,5.29,59.7,3.99,25.4,7.26,16.55,41.98843489793836,-91.65788824255212
235,Hawthorn,8,,11/9/2022,2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Other,1,4.5,Institutional,54.75,1.3,0.11,0.5,0.05,0.3,0.02,0.1,0.04,0.1,41.98855190517828,-91.65808236955569
236,Hawthorn,9,,11/9/2022,2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Other,1.1,4.5,Institutional,54.75,1.6,0.14,0.6,0.05,0.3,0.02,0.1,0.04,0.12,41.98858613000795,-91.65811597532827
237,Hawthorn,9,,11/9/2022,2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Other,1.1,4.5,Institutional,54.75,1.6,0.14,0.6,0.05,0.3,0.02,0.1,0.04,0.12,41.98862134073958,-91.65814480206778
238,Honey Locust,192,,11/9/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,24.1,4.5,Institutional,4509.55,3910.9,333.5,63.8,5.44,59.8,4,25.5,7.27,16.71,41.98877314310845,-91.65822421680251
239,Unidentified,190,,11/9/2022,,,,,Other,23.8,4.5,Institutional,,,,,,,,,,,41.98885377949085,-91.65847711728291
240,Pin Oak,177,,11/9/2022,4952,QUPA,Quercus palustris,Pin oak,Oak,22.2,4.5,Institutional,4961.37,2218,189.14,41.3,3.52,112.4,7.52,47.9,13.67,24.71,41.98859692468287,-91.65861622847548
241,Honey Locust,181,,11/9/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,22.7,4.5,Institutional,4015.96,3369.6,287.34,58.7,5,59.1,3.95,25.2,7.18,16.13,41.98851661360267,-91.6588932931043
242,Honey Locust,186,,11/9/2022,15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,23.3,4.5,Institutional,4223.88,3595.5,306.61,61,5.21,59.5,3.98,25.3,7.23,16.41,41.9883187009687,-91.65865908771538
243,Unidentified,52,,11/9/2022,,,,,Other,6.5,4.5,Institutional,,,,,,,,,,,41.98826307195468,-91.6584869743022
