tree_id,identification,circum (inches),planters,date
133,Sentry Linden,293,,10/23/2022
134,White Oak,76,,10/23/2022
135,Swamp White Oak,20,"A. Costantino, B. Jungman, K. Koenen, O. Wagner",10/23/2022
136,Kentucky Coffee Tree,6,,10/23/2022
137,Swamp White Oak,210,,10/23/2022
138,Cathedral Elm,28,,10/23/2022
139,Red Maple,98,,10/23/2022
140,Pin Oak,247,,10/23/2022
141,Cathedral Elm,6,"L. Dufoe, M. Jones, A. Phillips",10/23/2022
142,White Oak,285,,10/23/2022
143,Common Hackberry,164,,10/23/2022
144,Cathedral Elm,21.5,,10/23/2022
145,Black Oak,61,,10/23/2022
146,Princeton Sentry Ginkgo,8,"S. Barnes, A. Nuñez, G. Reighard",10/23/2022
147,Unidentified,9,,10/23/2022
148,Red Oak,329,,10/23/2022
149,Silver Birch,40,,10/23/2022
150,Red Oak,283,,10/23/2022
151,Green Ash,257,,10/23/2022
152,Princeton Elm,204,,10/23/2022
153,Swamp White Oak,17,"E. La Rosa, B. Runyon, C. Wihlm",10/23/2022
154,Autumn Fest Maple,17,"C. Howell, R. McMahen, P. Waskow",10/23/2022
155,Princeton Elm,20.5,"M. Meiers, L. Sweezer",10/23/2022
156,Black Maple,217,,10/23/2022
157,Ginkgo,248,,10/23/2022
158,Freeman Maple,61,,10/23/2022
159,Freeman Maple,53,,10/23/2022
160,Honey Locust,212,,10/23/2022
161,Autumn Fest Maple,19.5,"D. Robertson, H. Schipper, A. Ward",10/23/2022
162,Norway Maple,155,,10/23/2022
163,Green Ash,186,,10/23/2022
164,Princeton Sentry Ginkgo,11,"D. Robertson, H. Schipper, A. Ward",10/23/2022
165,Red Oak,16.5,"M. Macon, J. Meehan, B. Young",10/23/2022
166,Norway Maple,142,,10/23/2022
167,Norway Maple,132,,10/23/2022
168,Hawthorn,95,,10/23/2022
169,Hawthorn,62,,10/23/2022
170,Hawthorn,59,,10/23/2022
171,Black Oak,260,,10/23/2022
172,Dogwood,98,,10/23/2022
173,Kentucky Coffee Tree,9,,10/23/2022
174,Green Ash,186,,10/23/2022
175,Freeman Maple,61,,10/23/2022
176,Cottonwood,143,,10/23/2022
177,Hawthorn,54,,10/23/2022
178,Unidentified,34,,10/23/2022
179,Green Ash,320,,10/23/2022
180,Scotch Pine,125,,10/23/2022
181,Red Sunset Maple,20,"M. Macon, J. Meehan, B. Young",10/23/2022
182,Dogwood,63,,10/23/2022
183,Dogwood,147,,10/23/2022
184,Hawthorn,25,,10/25/2022
