TreeID,species_id,species_code,Species,DBH,dbh_height,Longitude,Latitude,Land Use
1,324,AM,serviceberry spp (Amelanchier),0.9,4.5,-91.6562834179619,41.98658200719589,Institutional
2,324,AM,serviceberry spp (Amelanchier),0.9,4.5,-91.65618814356377,41.98658723637167,Institutional
3,324,AM,serviceberry spp (Amelanchier),0.8,4.5,-91.65623513154664,41.98661128082747,Institutional
4,324,AM,serviceberry spp (Amelanchier),1,4.5,-91.65629041325059,41.98666613936655,Institutional
5,3452,GIBI,Ginkgo (Ginkgo biloba),3.1,4.5,-91.65656020517862,41.98650858018138,Institutional
6,3313,FASY,European beech (Fagus sylvatica),9.5,4.5,-91.65665073447013,41.98643617320311,Institutional
7,4926,QUMA1,Bur oak (Quercus macrocarpa),2.4,4.5,-91.65676997952771,41.98636096061271,Institutional
8,5903,ULAM,American elm (Ulmus americana),2.6,4.5,-91.65695992490588,41.98654473479197,Institutional
9,1676,ACPL,Norway maple (Acer platanoides),2.8,4.5,-91.656952084906,41.98657786881581,Institutional
10,3452,GIBI,Ginkgo (Ginkgo biloba),23.8,4.5,-91.65684930003518,41.98627056276531,Institutional
11,5909,ULPU,Siberian elm (Ulmus pumila),2.9,4.5,-91.65696603705479,41.98638610405104,Institutional
12,5857,TIAM,American basswood (Tilia americana),10.2,4.5,-91.65698655269594,41.98646649907076,Institutional
13,4952,QUPA,Pin oak (Quercus palustris),33.6,4.5,-91.65701825730078,41.98664458949511,Institutional
14,3394,FRPE,Green ash (Fraxinus pennsylvanica),24.9,4.5,-91.6569293595069,41.98667698339622,Institutional
16,4970,QURU,Northern red oak (Quercus rubra),30.8,4.5,-91.65665224830235,41.98658311987565,Institutional
17,324,AM,serviceberry spp (Amelanchier),1,4.5,-91.6563974824066,41.9865917858038,Institutional
18,1674,ACPA,Japanese maple (Acer palmatum),7.4,4.5,-91.65715636105021,41.98667681090217,Institutional
19,4926,QUMA1,Bur oak (Quercus macrocarpa),2.7,4.5,-91.65720079428878,41.98658199563413,Institutional
20,2572,CODR,Roughleaf dogwood (Cornus drummondii),0.6,4.5,-91.65741561936792,41.98663000394573,Institutional
21,4839,QUBI,Swamp white oak (Quercus bicolor),3.6,4.5,-91.65749938204151,41.98664147421036,Institutional
22,4926,QUMA1,Bur oak (Quercus macrocarpa),2.3,4.5,-91.6575228869998,41.98658557415834,Institutional
23,4839,QUBI,Swamp white oak (Quercus bicolor),3.4,4.5,-91.65764460981163,41.98657798243858,Institutional
24,3852,LITU,Tulip tree (Liriodendron tulipifera),2.8,4.5,-91.65767732822873,41.98650195123355,Institutional
25,1673,ACNI,Black maple (Acer nigrum),21.4,4.5,-91.65759294283568,41.98637449421486,Institutional
26,3995,PYIO,Prairie crabapple (Malus ioensis),2.6,4.5,-91.65746523671211,41.98652138407348,Institutional
27,5001,QUVE,Black oak (Quercus velutina),14.2,4.5,-91.65779408622032,41.98654883018814,Institutional
28,4952,QUPA,Pin oak (Quercus palustris),23.9,4.5,-91.65788064487701,41.98651275484173,Institutional
29,2302,CEOC,Northern hackberry (Celtis occidentalis),31.2,4.5,-91.65788297144081,41.98640108722537,Institutional
30,3852,LITU,Tulip tree (Liriodendron tulipifera),0.8,4.5,-91.65802707631813,41.98656237623958,Institutional
31,1028,PO,cottonwood spp (Populus),25.4,4.5,-91.65810739986671,41.98647518332932,Institutional
32,1028,PO,cottonwood spp (Populus),20.9,4.5,-91.65815802444098,41.98650239829356,Institutional
33,1680,ACSA2,Sugar maple (Acer saccharum),0.8,4.5,-91.65816297036348,41.98666645521732,Institutional
34,3378,FRAM,White ash (Fraxinus americana),29.4,4.5,-91.65823032775816,41.98657555888154,Institutional
35,1680,ACSA2,Sugar maple (Acer saccharum),8.6,4.5,-91.65829847877275,41.98655189879533,Institutional
36,4926,QUMA1,Bur oak (Quercus macrocarpa),9.4,4.5,-91.65828483458486,41.98647155090984,Institutional
37,4839,QUBI,Swamp white oak (Quercus bicolor),2.4,4.5,-91.65838386213748,41.98644766881663,Institutional
38,1676,ACPL,Norway maple (Acer platanoides),9.8,4.5,-91.65830039049172,41.98638387041277,Institutional
39,4970,QURU,Northern red oak (Quercus rubra),2.2,4.5,-91.65832319162953,41.98624592220207,Institutional
40,14714,BEPEP,European silver birch (Betula pendula ssp. pendula),7.9,4.5,-91.65842260203739,41.9863343622868,Institutional
41,3852,LITU,Tulip tree (Liriodendron tulipifera),13,4.5,-91.65851443008206,41.98641484481204,Institutional
42,4926,QUMA1,Bur oak (Quercus macrocarpa),2.6,4.5,-91.65857012066816,41.98633747150569,Institutional
43,4824,QUAL,White oak (Quercus alba),1.8,4.5,-91.65846890225147,41.9862494446438,Institutional
44,5001,QUVE,Black oak (Quercus velutina),25.6,4.5,-91.65835738996323,41.98613144432757,Institutional
45,5001,QUVE,Black oak (Quercus velutina),48.9,4.5,-91.65863428270657,41.98629100580941,Institutional
47,4824,QUAL,White oak (Quercus alba),58.9,4.5,-91.65590427598343,41.98632028725705,Institutional
48,4839,QUBI,Swamp white oak (Quercus bicolor),8.3,4.5,-91.65604987509643,41.98631485827387,Institutional
49,5857,TIAM,American basswood (Tilia americana),18.7,4.5,-91.65602992332781,41.98623168437905,Institutional
50,3394,FRPE,Green ash (Fraxinus pennsylvanica),17.2,4.5,-91.65609070364509,41.98619385480498,Institutional
51,4824,QUAL,White oak (Quercus alba),39.5,4.5,-91.6561828072343,41.9861693905027,Institutional
52,4970,QURU,Northern red oak (Quercus rubra),16.2,4.5,-91.65617314459948,41.98624031669575,Institutional
53,3995,PYIO,Prairie crabapple (Malus ioensis),2.9,4.5,-91.65633850834688,41.98619153283261,Institutional
54,4970,QURU,Northern red oak (Quercus rubra),14,4.5,-91.65635980837015,41.98612386305794,Institutional
55,4839,QUBI,Swamp white oak (Quercus bicolor),2.8,4.5,-91.65638239204856,41.98603456742385,Institutional
56,1678,ACRU,Red maple (Acer rubrum),9.9,4.5,-91.65648821177302,41.98610963583047,Institutional
57,5909,ULPU,Siberian elm (Ulmus pumila),3,4.5,-91.6564920393477,41.98603500240529,Institutional
58,4839,QUBI,Swamp white oak (Quercus bicolor),12.5,4.5,-91.65650322954633,41.98595910093677,Institutional
59,3394,FRPE,Green ash (Fraxinus pennsylvanica),20.1,4.5,-91.65665184715525,41.98588051112632,Institutional
60,3995,PYIO,Prairie crabapple (Malus ioensis),2.9,4.5,-91.65657584913195,41.98605244023041,Institutional
61,3995,PYIO,Prairie crabapple (Malus ioensis),2.9,4.5,-91.6566764589909,41.98598836921467,Institutional
62,5903,ULAM,American elm (Ulmus americana),3,4.5,-91.65680636123214,41.98596148718633,Institutional
63,4926,QUMA1,Bur oak (Quercus macrocarpa),2.6,4.5,-91.65664607393109,41.98612016439756,Institutional
64,5857,TIAM,American basswood (Tilia americana),3.4,4.5,-91.65679833809497,41.98608230098127,Institutional
65,5903,ULAM,American elm (Ulmus americana),1.8,4.5,-91.65679987979797,41.98579481267939,Institutional
66,5909,ULPU,Siberian elm (Ulmus pumila),3.6,4.5,-91.65690217139593,41.98590593144829,Institutional
67,1680,ACSA2,Sugar maple (Acer saccharum),2.6,4.5,-91.65707105306979,41.98592861147052,Institutional
68,4839,QUBI,Swamp white oak (Quercus bicolor),2.6,4.5,-91.65701352943762,41.98583711970596,Institutional
69,4952,QUPA,Pin oak (Quercus palustris),20.1,4.5,-91.65692743775114,41.98572454129282,Institutional
70,5903,ULAM,American elm (Ulmus americana),1.8,4.5,-91.65703858426019,41.98574802989335,Institutional
71,4952,QUPA,Pin oak (Quercus palustris),26.8,4.5,-91.65710823075548,41.98561287870719,Institutional
72,4497,PIST,Eastern white pine (Pinus strobus),18.2,4.5,-91.65717198702512,41.98572410050449,Institutional
73,4497,PIST,Eastern white pine (Pinus strobus),17.7,4.5,-91.65720509041587,41.98565272447009,Institutional
74,4497,PIST,Eastern white pine (Pinus strobus),16.8,4.5,-91.65729536889677,41.98565765284684,Institutional
75,4970,QURU,Northern red oak (Quercus rubra),2.1,4.5,-91.65722077984519,41.98553547948743,Institutional
78,3995,PYIO,Prairie crabapple (Malus ioensis),7.4,4.5,-91.65755349414536,41.98562017978937,Institutional
79,3995,PYIO,Prairie crabapple (Malus ioensis),10.5,4.5,-91.6576229589036,41.98561612208042,Institutional
80,3995,PYIO,Prairie crabapple (Malus ioensis),6.8,4.5,-91.65769895269165,41.98561268238905,Institutional
81,1680,ACSA2,Sugar maple (Acer saccharum),1.8,4.5,-91.6574470226149,41.98558231471539,Institutional
82,1680,ACSA2,Sugar maple (Acer saccharum),2.3,4.5,-91.65754936179255,41.98555773968071,Institutional
83,1680,ACSA2,Sugar maple (Acer saccharum),2.4,4.5,-91.65764299622352,41.98554013248856,Institutional
84,4970,QURU,Northern red oak (Quercus rubra),30,4.5,-91.65735796308255,41.9854800702664,Institutional
85,5903,ULAM,American elm (Ulmus americana),2.9,4.5,-91.6574608874541,41.98546850111001,Institutional
